generation,individual,fitness_f1,learning_rate,epochs,batch_size,dropout1,dropout2,dropout3,h1,h2,h3,patience
9,3,0.7096774193548386,0.00995996161818699,76,64,0.4,0.0,0.2,64,32,16,8
9,4,0.7048458149779736,0.005677918413839926,81,64,0.1,0.3,0.3,64,32,16,8
9,5,0.1797752808988764,0.01,76,32,0.3,0.1,0.3,64,32,16,8
9,6,0.6063829787234042,0.005677918413839926,76,16,0.4,0.3,0.3,64,32,16,8
9,7,0.23853211009174313,0.005807885018422765,71,16,0.4,0.3,0.0,64,32,16,8
9,8,0.712962962962963,0.005677918413839926,71,64,0.4,0.3,0.3,64,32,16,8
9,9,0.2882882882882883,0.005677918413839926,81,16,0.1,0.3,0.3,64,32,16,8
9,10,0.7333333333333333,0.01,76,32,0.3,0.3,0.2,64,32,16,8
9,11,0.7291666666666666,0.01,77,32,0.3,0.3,0.2,64,32,16,8
9,12,0.6625,0.00995996161818699,88,16,0.3,0.0,0.3,64,32,16,8
9,13,0.6635071090047393,0.004517236053063714,76,16,0.4,0.0,0.3,64,32,16,8
9,14,0.7826086956521738,0.00995996161818699,76,16,0.4,0.0,0.2,64,32,16,8
9,15,0.5100671140939597,0.005677918413839926,76,16,0.4,0.3,0.3,64,32,16,8
9,16,0.49664429530201337,0.00995996161818699,81,64,0.1,0.3,0.3,64,32,16,8
9,17,0.7344632768361582,0.005677918413839926,76,32,0.4,0.0,0.3,64,32,16,8
9,18,0.4294478527607362,0.005677918413839926,81,64,0.3,0.3,0.3,64,32,16,8
9,19,0.33009708737864074,0.00995996161818699,72,16,0.4,0.0,0.3,64,32,16,8
9,20,0.6618705035971224,0.005677918413839926,81,32,0.4,0.3,0.2,64,32,16,8
10,1,0.6844919786096257,0.00037900586552769077,70,32,0.2,0.3,0.0,64,32,16,8
10,2,0.7388535031847134,0.005677918413839926,81,64,0.4,0.3,0.3,64,32,16,8
10,3,0.6382978723404256,0.005677918413839926,71,64,0.1,0.3,0.3,64,32,16,8
10,4,0.6331658291457286,0.005677918413839926,81,64,0.1,0.3,0.3,64,32,16,8
10,5,0.7596153846153845,0.005677918413839926,81,64,0.3,0.3,0.3,64,32,16,8
10,6,0.662251655629139,0.00995996161818699,68,64,0.4,0.0,0.2,64,32,16,8
10,7,0.34,0.00995996161818699,76,16,0.4,0.0,0.2,64,32,16,8
10,8,0.3725490196078431,0.005677918413839926,76,16,0.4,0.0,0.2,64,32,16,8
10,9,0.7955801104972375,0.00995996161818699,81,64,0.1,0.3,0.3,64,32,16,8
10,10,0.48695652173913045,0.005677918413839926,71,16,0.4,0.0,0.2,64,32,16,8
10,11,0.7707317073170732,0.00995996161818699,76,64,0.4,0.3,0.3,64,32,16,8
10,12,0.7079646017699115,0.01,76,32,0.3,0.3,0.2,64,32,16,8
10,13,0.7105263157894737,0.00995996161818699,88,16,0.3,0.0,0.3,64,32,16,8
10,14,0.8295454545454545,0.00995996161818699,76,16,0.4,0.0,0.3,64,32,16,8
10,15,0.6262626262626262,0.004517236053063714,76,16,0.4,0.3,0.2,64,32,16,8
10,16,0.5985401459854014,0.00995996161818699,76,16,0.3,0.0,0.2,64,32,16,8
10,17,0.7448979591836735,0.01,76,32,0.4,0.3,0.2,64,32,16,8
10,18,0.20754716981132074,0.005677918413839926,76,32,0.4,0.0,0.3,64,32,16,8
10,19,0.32432432432432434,0.00995996161818699,76,16,0.4,0.0,0.2,64,32,16,8
10,20,0.35,0.005677918413839926,85,32,0.3,0.0,0.3,64,32,16,8
11,1,0.7037037037037037,0.00995996161818699,76,16,0.4,0.0,0.3,64,32,16,8
11,2,0.6952380952380952,0.01,81,64,0.3,0.3,0.3,64,32,16,8
11,3,0.3442622950819672,0.00995996161818699,76,64,0.4,0.3,0.3,64,32,16,8
11,4,0.6909090909090909,0.005677918413839926,76,32,0.0,0.0,0.3,64,32,16,8
11,5,0.7222222222222222,0.00995996161818699,81,64,0.4,0.3,0.3,64,32,16,8
11,6,0.11235955056179774,0.00995996161818699,76,32,0.4,0.0,0.2,64,32,16,8
11,7,0.588235294117647,0.01,68,64,0.4,0.2,0.2,64,32,16,8
